cve_id,published,id_year,keyword_tier,bm25_score,cvss3_score,cvss3_version,cvss3_source,cvss4_score,cwes,in_keyword,in_bm25,in_intersection,owasp,text_snippet
CVE-2022-20115,2022-05-10,2022,,9.32051,5.5,3.1,Primary,,CWE-862,False,True,False,,"In broadcastServiceStateChanged of TelephonyRegistry.java, there is a possible way to learn base station information without location permission due to a missing permission check. This could lead to l"
CVE-2022-20270,2022-08-12,2022,,9.95958,5.5,3.1,Primary,,,False,True,False,,"In Content, there is a possible way to learn gmail account name on the device due to a permissions bypass. This could lead to local information disclosure with no additional execution privileges neede"
CVE-2022-20290,2022-08-12,2022,,10.0124,5.5,3.1,Primary,,,False,True,False,,"In Midi, there is a possible way to learn about private midi devices due to a permissions bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User "
CVE-2022-20294,2022-08-12,2022,,9.90733,5.5,3.1,Primary,,CWE-862,False,True,False,,"In Content, there is a possible way to learn about an account present on the device due to a missing permission check. This could lead to local information disclosure with User execution privileges ne"
CVE-2022-20352,2022-08-10,2022,,9.32051,5.5,3.1,Primary,,CWE-862,False,True,False,,"In addProviderRequestListener of LocationManagerService.java, there is a possible way to learn which packages request location information due to a missing permission check. This could lead to local i"
CVE-2022-20510,2022-12-16,2022,,9.70368,5.5,3.1,Primary,,CWE-862,False,True,False,,"In getNearbyNotificationStreamingPolicy of DevicePolicyManagerService.java, there is a possible way to learn about the notification streaming policy of other users due to a permissions bypass. This co"
CVE-2022-21129,2023-01-31,2022,,16.1388,9.8,3.1,Primary,,CWE-77|CWE-78,False,True,False,,Versions of the package nemo-appium before 0.0.9 are vulnerable to Command Injection due to improper input sanitization in the 'module.exports.setup' function. **Note:** In order to exploit this vul
CVE-2022-21725,2022-02-03,2022,supply_chain,21.1624,6.5,3.1,Primary,,CWE-369,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The estimator for the cost of some convolution operations can be made to execute a division by 0. The function fails to check that the stride a
CVE-2022-21726,2022-02-03,2022,supply_chain,20.2196,8.8,3.1,Primary,,CWE-125,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of `Dequantize` does not fully validate the value of `axis` and can result in heap OOB accesses. The `axis` argument can be 
CVE-2022-21727,2022-02-03,2022,supply_chain,20.5587,8.8,3.1,Primary,,CWE-190,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of shape inference for `Dequantize` is vulnerable to an integer overflow weakness. The `axis` argument can be `-1` (the defa
CVE-2022-21728,2022-02-03,2022,supply_chain,19.4206,8.1,3.1,Primary,,CWE-125,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of shape inference for `ReverseSequence` does not fully validate the value of `batch_dim` and can result in a heap OOB read.
CVE-2022-21729,2022-02-03,2022,supply_chain,22.5458,6.5,3.1,Primary,,CWE-190,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of `UnravelIndex` is vulnerable to a division by zero caused by an integer overflow bug. The fix will be included in TensorF
CVE-2022-21730,2022-02-03,2022,supply_chain,22.1506,8.1,3.1,Primary,,CWE-125,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of `FractionalAvgPoolGrad` does not consider cases where the input tensors are invalid allowing an attacker to read from out
CVE-2022-21731,2022-02-03,2022,supply_chain,18.6744,6.5,3.1,Primary,,CWE-843,True,True,True,LLM10_Unbounded_Consumption,Tensorflow is an Open Source Machine Learning Framework. The implementation of shape inference for `ConcatV2` can be used to trigger a denial of service attack via a segfault caused by a type confusio
CVE-2022-21732,2022-02-03,2022,supply_chain,21.4189,6.5,3.1,Primary,,CWE-770,True,True,True,LLM10_Unbounded_Consumption,Tensorflow is an Open Source Machine Learning Framework. The implementation of `ThreadPoolHandle` can be used to trigger a denial of service attack by allocating too much memory. This is because the `
CVE-2022-21733,2022-02-03,2022,supply_chain,20.9555,6.5,3.1,Primary,,CWE-190,True,True,True,LLM10_Unbounded_Consumption,Tensorflow is an Open Source Machine Learning Framework. The implementation of `StringNGrams` can be used to trigger a denial of service attack by causing an out of memory condition after an integer o
CVE-2022-21734,2022-02-03,2022,supply_chain,22.5458,6.5,3.1,Primary,,CWE-843,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of `MapStage` is vulnerable a `CHECK`-fail if the key tensor is not a scalar. The fix will be included in TensorFlow 2.8.0. 
CVE-2022-21735,2022-02-03,2022,supply_chain,22.7742,6.5,3.1,Primary,,CWE-369,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of `FractionalMaxPool` can be made to crash a TensorFlow process via a division by 0. The fix will be included in TensorFlow
CVE-2022-21736,2022-02-03,2022,supply_chain,21.1205,6.5,3.1,Primary,,CWE-476,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of `SparseTensorSliceDataset` has an undefined behavior: under certain condition it can be made to dereference a `nullptr` v
CVE-2022-21737,2022-02-03,2022,supply_chain,20.6363,6.5,3.1,Primary,,CWE-754,True,True,True,LLM10_Unbounded_Consumption,Tensorflow is an Open Source Machine Learning Framework. The implementation of `*Bincount` operations allows malicious users to cause denial of service by passing in arguments which would trigger a `C
CVE-2022-21738,2022-02-03,2022,supply_chain,22.39,6.5,3.1,Primary,,CWE-190,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of `SparseCountSparseOutput` can be made to crash a TensorFlow process by an integer overflow whose result is then used in a
CVE-2022-21739,2022-02-03,2022,supply_chain,22.3951,6.5,3.1,Primary,,CWE-476,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of `QuantizedMaxPool` has an undefined behavior where user controlled inputs can trigger a reference binding to null pointer
CVE-2022-21740,2022-02-03,2022,supply_chain,22.9098,8.8,3.1,Primary,,CWE-787,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of `SparseCountSparseOutput` is vulnerable to a heap overflow. The fix will be included in TensorFlow 2.8.0. We will also ch
CVE-2022-21741,2022-02-03,2022,supply_chain,20.3683,6.5,3.1,Primary,,CWE-369,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. ### Impact An attacker can craft a TFLite model that would trigger a division by zero in the implementation of depthwise convolutions. The para
CVE-2022-22268,2022-01-10,2022,,17.0616,6.1,3.1,Primary,,CWE-285|CWE-552,False,True,False,,Incorrect implementation of Knox Guard prior to SMR Jan-2022 Release 1 allows physically proximate attackers to temporary unlock the Knox Guard via Samsung DeX mode. cpe:2.3:o:google:android:9.0:*:*:*
CVE-2022-22598,2022-03-18,2022,,9.95958,3.3,3.1,Primary,,,False,True,False,,An issue with app access to camera metadata was addressed with improved logic. This issue is fixed in iOS 15.4 and iPadOS 15.4. An app may be able to learn information about the current camera view be
CVE-2022-22760,2022-12-22,2022,,9.55635,6.5,3.1,Primary,,CWE-209,False,True,False,,"When importing resources using Web Workers, error messages would distinguish the difference between <code>application/javascript</code> responses and non-script responses. This could have been abused "
CVE-2022-22821,2022-01-10,2022,adversarial,15.64,4.4,3.1,Primary,,CWE-22,True,True,True,,"NVIDIA NeMo before 1.6.0 contains a vulnerability in ASR WebApp, in which ../ Path Traversal may lead to deletion of any directory when admin privileges are available. cpe:2.3:a:nvidia:nemo:*:*:*:*:*:"
CVE-2022-23557,2022-02-04,2022,supply_chain,22.055,6.5,3.1,Primary,,CWE-369,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. An attacker can craft a TFLite model that would trigger a division by zero in `BiasAndClamp` implementation. There is no check that the `bias_s
CVE-2022-23558,2022-02-04,2022,supply_chain,21.5064,8.8,3.1,Primary,,CWE-190,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. An attacker can craft a TFLite model that would cause an integer overflow in `TfLiteIntArrayCreate`. The `TfLiteIntArrayGetSizeInBytes` returns
CVE-2022-23559,2022-02-04,2022,supply_chain,20.5827,8.8,3.1,Primary,,CWE-190,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. An attacker can craft a TFLite model that would cause an integer overflow in embedding lookup operations. Both `embedding_size` and `lookup_siz
CVE-2022-23560,2022-02-04,2022,supply_chain,21.4625,8.8,3.1,Primary,,CWE-125|CWE-787,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. An attacker can craft a TFLite model that would allow limited reads and writes outside of arrays in TFLite. This exploits missing validation in
CVE-2022-23561,2022-02-04,2022,supply_chain,21.2045,8.8,3.1,Primary,,CWE-787,True,True,True,LLM03_Supply_Chain,"Tensorflow is an Open Source Machine Learning Framework. An attacker can craft a TFLite model that would cause a write outside of bounds of an array in TFLite. In fact, the attacker can override the l"
CVE-2022-23562,2022-02-04,2022,supply_chain,22.3951,8.8,3.1,Primary,,CWE-190,True,True,True,LLM03_Supply_Chain,"Tensorflow is an Open Source Machine Learning Framework. The implementation of `Range` suffers from integer overflows. These can trigger undefined behavior or, in some scenarios, extremely large alloc"
CVE-2022-23563,2022-02-04,2022,supply_chain,19.284,6.3,3.1,Primary,,CWE-367,True,True,True,LLM03_Supply_Chain,"Tensorflow is an Open Source Machine Learning Framework. In multiple places, TensorFlow uses `tempfile.mktemp` to create temporary files. While this is acceptable in testing, in utilities and librarie"
CVE-2022-23564,2022-02-04,2022,supply_chain,22.1031,6.5,3.1,Primary,,CWE-617,True,True,True,LLM10_Unbounded_Consumption,"Tensorflow is an Open Source Machine Learning Framework. When decoding a resource handle tensor from protobuf, a TensorFlow process can encounter cases where a `CHECK` assertion is invalidated based o"
CVE-2022-23565,2022-02-04,2022,supply_chain,22.1506,6.5,3.1,Primary,,CWE-617,True,True,True,LLM10_Unbounded_Consumption,Tensorflow is an Open Source Machine Learning Framework. An attacker can trigger denial of service via assertion failure by altering a `SavedModel` on disk such that `AttrDef`s of some operation are d
CVE-2022-23566,2022-02-04,2022,supply_chain,22.16,8.8,3.1,Primary,,CWE-787,True,True,True,LLM03_Supply_Chain,"Tensorflow is an Open Source Machine Learning Framework. TensorFlow is vulnerable to a heap OOB write in `Grappler`. The `set_output` function writes to an array at the specified index. Hence, this gi"
CVE-2022-23567,2022-02-03,2022,supply_chain,20.4819,6.5,3.1,Primary,,CWE-190,True,True,True,LLM10_Unbounded_Consumption,"Tensorflow is an Open Source Machine Learning Framework. The implementations of `Sparse*Cwise*` ops are vulnerable to integer overflows. These can be used to trigger large allocations (so, OOM based d"
CVE-2022-23568,2022-02-03,2022,supply_chain,20.9148,6.5,3.1,Primary,,CWE-190,True,True,True,LLM10_Unbounded_Consumption,Tensorflow is an Open Source Machine Learning Framework. The implementation of `AddManySparseToTensorsMap` is vulnerable to an integer overflow which results in a `CHECK`-fail when building new `Tenso
CVE-2022-23569,2022-02-03,2022,supply_chain,21.1908,6.5,3.1,Primary,,CWE-617,True,True,True,LLM10_Unbounded_Consumption,"Tensorflow is an Open Source Machine Learning Framework. Multiple operations in TensorFlow can be used to trigger a denial of service via `CHECK`-fails (i.e., assertion failures). This is similar to T"
CVE-2022-23570,2022-02-04,2022,supply_chain,20.1829,6.5,3.1,Primary,,CWE-476|CWE-617,True,True,True,LLM03_Supply_Chain,"Tensorflow is an Open Source Machine Learning Framework. When decoding a tensor from protobuf, TensorFlow might do a null-dereference if attributes of some mutable arguments to some operations are mis"
CVE-2022-23571,2022-02-04,2022,supply_chain,21.6117,6.5,3.1,Primary,,CWE-617,True,True,True,LLM10_Unbounded_Consumption,"Tensorflow is an Open Source Machine Learning Framework. When decoding a tensor from protobuf, a TensorFlow process can encounter cases where a `CHECK` assertion is invalidated based on user controlle"
CVE-2022-23572,2022-02-04,2022,supply_chain,20.1829,6.5,3.1,Primary,,CWE-617|CWE-754,True,True,True,LLM03_Supply_Chain,"Tensorflow is an Open Source Machine Learning Framework. Under certain scenarios, TensorFlow can fail to specialize a type during shape inference. This case is covered by the `DCHECK` function however"
CVE-2022-23573,2022-02-04,2022,supply_chain,20.9555,8.8,3.1,Primary,,CWE-908,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of `AssignOp` can result in copying uninitialized data to a new tensor. This later results in undefined behavior. The implem
CVE-2022-23574,2022-02-04,2022,supply_chain,20.4439,8.8,3.1,Primary,,CWE-125|CWE-787,True,True,True,LLM03_Supply_Chain,"Tensorflow is an Open Source Machine Learning Framework. There is a typo in TensorFlow's `SpecializeType` which results in heap OOB read/write. Due to a typo, `arg` is initialized to the `i`th mutable"
CVE-2022-23575,2022-02-04,2022,supply_chain,21.9607,6.5,3.1,Primary,,CWE-190,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of `OpLevelCostEstimator::CalculateTensorSize` is vulnerable to an integer overflow if an attacker can create an operation w
CVE-2022-23576,2022-02-04,2022,supply_chain,20.7543,6.5,3.1,Primary,,CWE-190,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of `OpLevelCostEstimator::CalculateOutputSize` is vulnerable to an integer overflow if an attacker can create an operation w
CVE-2022-23577,2022-02-04,2022,supply_chain,22.648,6.5,3.1,Primary,,CWE-476,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The implementation of `GetInitOp` is vulnerable to a crash caused by dereferencing a null pointer. The fix will be included in TensorFlow 2.8.0
CVE-2022-23578,2022-02-04,2022,supply_chain,21.679,4.3,3.1,Primary,,CWE-401,True,True,True,LLM03_Supply_Chain,"Tensorflow is an Open Source Machine Learning Framework. If a graph node is invalid, TensorFlow can leak memory in the implementation of `ImmutableExecutorState::Initialize`. Here, we set `item->kerne"
CVE-2022-23579,2022-02-04,2022,supply_chain,22.39,6.5,3.1,Primary,,CWE-617,True,True,True,LLM10_Unbounded_Consumption,Tensorflow is an Open Source Machine Learning Framework. The Grappler optimizer in TensorFlow can be used to cause a denial of service by altering a `SavedModel` such that `SafeToRemoveIdentity` would
CVE-2022-23580,2022-02-04,2022,supply_chain,22.6277,6.5,3.1,Primary,,CWE-1284|CWE-400,True,True,True,LLM10_Unbounded_Consumption,"Tensorflow is an Open Source Machine Learning Framework. During shape inference, TensorFlow can allocate a large vector based on a value from a tensor controlled by the user. The fix will be included "
CVE-2022-23581,2022-02-04,2022,supply_chain,22.39,6.5,3.1,Primary,,CWE-617,True,True,True,LLM10_Unbounded_Consumption,Tensorflow is an Open Source Machine Learning Framework. The Grappler optimizer in TensorFlow can be used to cause a denial of service by altering a `SavedModel` such that `IsSimplifiableReshape` woul
CVE-2022-23582,2022-02-04,2022,supply_chain,20.1829,6.5,3.1,Primary,,CWE-617,True,True,True,LLM10_Unbounded_Consumption,Tensorflow is an Open Source Machine Learning Framework. A malicious user can cause a denial of service by altering a `SavedModel` such that `TensorByteSize` would trigger `CHECK` failures. `TensorSha
CVE-2022-23583,2022-02-04,2022,supply_chain,18.6744,6.5,3.1,Primary,,CWE-617|CWE-843,True,True,True,LLM10_Unbounded_Consumption,Tensorflow is an Open Source Machine Learning Framework. A malicious user can cause a denial of service by altering a `SavedModel` such that any binary op would trigger `CHECK` failures. This occurs w
CVE-2022-23584,2022-02-04,2022,supply_chain,21.7755,6.5,3.1,Primary,,CWE-416,True,True,True,LLM03_Supply_Chain,"Tensorflow is an Open Source Machine Learning Framework. A malicious user can cause a use after free behavior when decoding PNG images. After `png::CommonFreeDecode(&decode)` gets called, the values o"
CVE-2022-23585,2022-02-04,2022,supply_chain,20.7695,6.5,3.1,Primary,,CWE-401,True,True,True,LLM03_Supply_Chain,"Tensorflow is an Open Source Machine Learning Framework. When decoding PNG images TensorFlow can produce a memory leak if the image is invalid. After calling `png::CommonInitDecode(..., &decode)`, the"
CVE-2022-23586,2022-02-04,2022,supply_chain,22.055,6.5,3.1,Primary,,CWE-617,True,True,True,LLM10_Unbounded_Consumption,Tensorflow is an Open Source Machine Learning Framework. A malicious user can cause a denial of service by altering a `SavedModel` such that assertions in `function.cc` would be falsified and crash th
CVE-2022-23587,2022-02-04,2022,supply_chain,21.9813,9.8,3.1,Primary,,CWE-190,True,True,True,LLM03_Supply_Chain,"Tensorflow is an Open Source Machine Learning Framework. Under certain scenarios, Grappler component of TensorFlow is vulnerable to an integer overflow during cost estimation for crop and resize. Sinc"
CVE-2022-23588,2022-02-04,2022,supply_chain,21.1205,6.5,3.1,Primary,,CWE-617,True,True,True,LLM10_Unbounded_Consumption,Tensorflow is an Open Source Machine Learning Framework. A malicious user can cause a denial of service by altering a `SavedModel` such that Grappler optimizer would attempt to build a tensor using a 
CVE-2022-23589,2022-02-04,2022,supply_chain,19.9336,6.5,3.1,Primary,,CWE-476,True,True,True,LLM03_Supply_Chain,"Tensorflow is an Open Source Machine Learning Framework. Under certain scenarios, Grappler component of TensorFlow can trigger a null pointer dereference. There are 2 places where this can occur, for "
CVE-2022-23590,2022-02-04,2022,supply_chain,22.4632,7.5,3.1,Primary,,CWE-754,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. A `GraphDef` from a TensorFlow `SavedModel` can be maliciously altered to cause a TensorFlow process to crash due to encountering a `StatusOr` 
CVE-2022-23591,2022-02-04,2022,supply_chain,21.0339,7.5,3.1,Primary,,CWE-400|CWE-674,True,True,True,LLM10_Unbounded_Consumption,"Tensorflow is an Open Source Machine Learning Framework. The `GraphDef` format in TensorFlow does not allow self recursive functions. The runtime assumes that this invariant is satisfied. However, a `"
CVE-2022-23592,2022-02-04,2022,supply_chain,21.1908,8.1,3.1,Primary,,CWE-125,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. TensorFlow's type inference can cause a heap out of bounds read as the bounds checking is done in a `DCHECK` (which is a no-op during productio
CVE-2022-23593,2022-02-04,2022,supply_chain,21.8438,7.5,3.1,Primary,,CWE-754,True,True,True,LLM10_Unbounded_Consumption,"Tensorflow is an Open Source Machine Learning Framework. The `simplifyBroadcast` function in the MLIR-TFRT infrastructure in TensorFlow is vulnerable to a segfault (hence, denial of service), if calle"
CVE-2022-23594,2022-02-04,2022,supply_chain,18.7669,5.5,3.1,Primary,,CWE-125|CWE-787,True,True,True,LLM03_Supply_Chain,Tensorflow is an Open Source Machine Learning Framework. The TFG dialect of TensorFlow (MLIR) makes several assumptions about the incoming `GraphDef` before converting it to the MLIR-based dialect. If
CVE-2022-23595,2022-02-04,2022,supply_chain,22.16,6.5,3.1,Primary,,CWE-476,True,True,True,LLM03_Supply_Chain,"Tensorflow is an Open Source Machine Learning Framework. When building an XLA compilation cache, if default settings are used, TensorFlow triggers a null pointer dereference. In the default scenario, "
CVE-2022-24770,2022-03-17,2022,adversarial,20.887,8.8,3.1,Primary,,CWE-1236,True,True,True,,"`gradio` is an open source framework for building interactive machine learning models and demos. Prior to version 2.8.11, `gradio` suffers from Improper Neutralization of Formula Elements in a CSV Fil"
CVE-2022-25882,2023-01-26,2022,supply_chain,15.7087,7.5,3.1,Primary,,CWE-22,True,True,True,LLM03_Supply_Chain,Versions of the package onnx before 1.13.0 are vulnerable to Directory Traversal as the external_data field of the tensor proto can have a path to the file which is outside the model current directory
CVE-2022-26076,2023-02-16,2022,,14.3649,7.3,3.1,Primary,,CWE-427,False,True,False,,Uncontrolled search path element in the Intel(R) oneAPI Deep Neural Network (oneDNN) before version 2022.1 may allow an authenticated user to potentially enable escalation of privilege via local acces
CVE-2022-29191,2022-05-20,2022,supply_chain,20.5343,5.5,3.1,Primary,,CWE-20,True,True,True,LLM10_Unbounded_Consumption,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.GetSessionTensor` does not fully validate the input argu"
CVE-2022-29192,2022-05-20,2022,supply_chain,20.5343,5.5,3.1,Primary,,CWE-20,True,True,True,LLM10_Unbounded_Consumption,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.QuantizeAndDequantizeV4Grad` does not fully validate the"
CVE-2022-29193,2022-05-20,2022,supply_chain,20.2265,5.5,3.1,Primary,,CWE-20,True,True,True,LLM10_Unbounded_Consumption,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.TensorSummaryV2` does not fully validate the input argum"
CVE-2022-29194,2022-05-20,2022,supply_chain,20.5343,5.5,3.1,Primary,,CWE-20,True,True,True,LLM10_Unbounded_Consumption,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.DeleteSessionTensor` does not fully validate the input a"
CVE-2022-29195,2022-05-20,2022,supply_chain,19.6738,5.5,3.1,Primary,,CWE-20,True,True,True,LLM10_Unbounded_Consumption,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.StagePeek` does not fully validate the input arguments. "
CVE-2022-29196,2022-05-20,2022,supply_chain,19.8529,5.5,3.1,Primary,,CWE-1284|CWE-20,True,True,True,LLM10_Unbounded_Consumption,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.Conv3DBackpropFilterV2` does not fully validate the inpu"
CVE-2022-29197,2022-05-20,2022,supply_chain,19.6738,5.5,3.1,Primary,,CWE-20,True,True,True,LLM10_Unbounded_Consumption,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.UnsortedSegmentJoin` does not fully validate the input a"
CVE-2022-29198,2022-05-20,2022,supply_chain,19.4425,5.5,3.1,Primary,,CWE-20,True,True,True,LLM10_Unbounded_Consumption,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.SparseTensorToCSRSparseMatrix` does not fully validate t"
CVE-2022-29199,2022-05-20,2022,supply_chain,19.6738,5.5,3.1,Primary,,CWE-20,True,True,True,LLM10_Unbounded_Consumption,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.LoadAndRemapMatrix does not fully validate the input arg"
CVE-2022-29200,2022-05-20,2022,supply_chain,19.3578,5.5,3.1,Primary,,CWE-1284|CWE-20,True,True,True,LLM10_Unbounded_Consumption,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.LSTMBlockCell` does not fully validate the input argumen"
CVE-2022-29201,2022-05-20,2022,supply_chain,20.3233,5.5,3.1,Primary,,CWE-20|CWE-476,True,True,True,LLM03_Supply_Chain,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.QuantizedConv2D` does not fully validate the input argum"
CVE-2022-29202,2022-05-20,2022,supply_chain,20.3886,5.5,3.1,Primary,,CWE-1284|CWE-20|CWE-400,True,True,True,LLM10_Unbounded_Consumption,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.ragged.constant` does not fully validate the input arguments. Th"
CVE-2022-29203,2022-05-20,2022,supply_chain,19.5571,5.5,3.1,Primary,,CWE-190,True,True,True,LLM10_Unbounded_Consumption,"TensorFlow is an open source platform for machine learning. Prior to versions 2.9.0, 2.8.1, 2.7.2, and 2.6.4, the implementation of `tf.raw_ops.SpaceToBatchND` (in all backends such as XLA and handwri"
